log10_k_ads,log10_k_des,log10_k_rxn
-3.119846,-1.179289,0.321420
-3.425224,-0.811693,0.280810
-3.258363,-2.326298,0.381623
-3.155082,-1.483970,0.365873
-3.166386,-2.524063,0.402511
-3.430341,-1.544388,0.377425
-3.350814,-1.784331,0.424744
-3.191528,-1.664370,0.511453
-3.217830,-1.821592,0.275183
-3.226653,-1.523630,0.382395
-3.369480,-2.205744,0.548815
-3.000936,-1.844680,0.304591
-3.207460,-1.089587,0.486159
-3.064088,-1.747265,0.585322
-3.266254,-1.089293,0.558017
-3.199163,-1.892432,0.241071
-3.208167,-0.805821,0.320580
-3.247737,-1.775319,0.345803
-3.343056,-1.092684,0.430342
-2.979964,-2.458162,0.347821
-3.165950,-1.565125,0.270813
-3.246391,-1.792743,0.225559
-3.027925,-1.693559,0.376967
-3.201497,-1.139772,0.228643
-3.173669,-2.279131,0.436335
-3.261373,-1.374442,0.326281
-3.330895,-1.716954,0.312818
-3.136614,-1.123989,0.449396
-2.965241,-1.990751,0.387012
-3.299832,-2.411564,0.393773
-3.490096,-2.514936,0.470907
-2.798691,-1.456940,0.266946
-2.991098,-2.182779,0.313823
-3.409344,-1.472347,0.400477
-3.100351,-1.802323,0.323505
-3.120828,-1.497065,0.243330
-3.216176,-1.345593,0.477408
-3.079617,-2.626301,0.171271
-2.948173,-1.728222,0.396477
-3.391188,-1.677196,0.432534
-3.304862,-1.886566,0.466385
-3.228623,-1.567753,0.355500
-2.956592,-1.485222,0.509880
-3.119775,-1.966547,0.407420
-3.288374,-1.771127,0.382080
-3.282824,-2.083145,0.336340
-3.166478,-1.704101,0.260601
-2.961583,-2.092490,0.388887
-3.572337,-2.006613,0.361745
-3.186675,-1.686180,0.312495
-3.061912,-2.010678,0.441701
-3.334024,-1.583684,0.529442
-3.208667,-0.746706,0.417040
-3.195172,-1.120652,0.352500
-3.295185,-1.582371,0.401729
-3.203814,-1.631429,0.419462
-3.244036,-1.466252,0.315127
-3.175648,-1.939913,0.511442
-3.349756,-1.204457,0.607138
-3.292425,-1.905717,0.402273
-3.253223,-1.478462,0.350756
-3.451403,-1.869530,0.291202
-3.462014,-1.962676,0.288607
-3.142702,-2.115810,0.528089
-3.437038,-1.594800,0.581620
-3.474868,-1.627973,0.423925
-3.300316,-0.869626,0.413207
-3.161145,-2.080150,0.290757
-3.278470,-2.137034,0.424010
-3.151580,-1.815388,0.401867
-3.227603,-1.492574,0.555275
-3.192332,-2.343000,0.355004
-3.459876,-1.770470,0.445740
-3.005353,-1.928652,0.370997
-3.065445,-1.502336,0.492180
-3.381996,-1.423536,0.471192
-3.101970,-1.888369,0.338016
-3.268661,-2.156250,0.320688
-3.376697,-1.031226,0.419553
-3.014162,-1.638004,0.337412
-3.369497,-1.269859,0.350859
-3.150442,-1.610590,0.382599
-3.363891,-2.253368,0.425910
-3.172759,-1.464624,0.413045
-2.891820,-1.722737,0.441656
-3.296182,-1.573720,0.460792
-3.265489,-1.593807,0.380047
-3.105936,-1.908468,0.429354
-3.294502,-1.431467,0.285597
-3.137516,-1.869906,0.427121
-3.304301,-1.500848,0.362842
-3.338906,-1.755437,0.457272
-3.187372,-2.221639,0.510750
-3.379238,-1.430164,0.407766
-3.252036,-1.749797,0.516940
-3.371674,-1.359382,0.259074
-3.323149,-1.890129,0.476168
-3.249958,-2.477669,0.402282
-3.000280,-1.306886,0.307131
-3.095189,-1.526495,0.507073
-2.973964,-0.823769,0.437285
-3.576133,-1.441309,0.314919
-3.258560,-1.508080,0.311992
-3.376999,-1.137900,0.411028
-3.452747,-1.849283,0.458087
-3.232784,-1.970885,0.366866
-3.296286,-0.997083,0.343383
-3.217864,-1.281858,0.317444
-3.085727,-1.678723,0.554897
-3.163351,-1.256200,0.374125
-2.871690,-1.631726,0.425482
-3.301944,-1.110501,0.471538
-3.607451,-1.343818,0.443839
-3.289114,-2.224961,0.411651
-3.231168,-1.793025,0.303380
-3.068114,-2.496705,0.337514
-3.447088,-2.067113,0.353154
-3.011159,-2.156560,0.450125
-3.235526,-1.936708,0.382471
-3.340358,-1.541599,0.378237
-3.170015,-1.653561,0.480154
-3.328171,-1.826333,0.442107
-3.198368,-1.191730,0.419080
-2.963832,-1.814642,0.205348
-3.293775,-1.979440,0.514829
-3.188141,-2.123100,0.392746
-3.157841,-2.035359,0.522360
-3.086751,-1.833568,0.415899
-2.902546,-2.123601,0.373393
-3.242160,-2.007040,0.364196
-3.115050,-1.726286,0.416324
-3.314822,-1.843325,0.297478
-3.259241,-1.456679,0.407830
-3.082140,-1.646645,0.444126
-3.185625,-1.459192,0.407039
-3.049030,-1.373664,0.291480
-3.283091,-2.405828,0.365412
-3.610403,-1.378471,0.436561
-3.060406,-1.581761,0.283858
-2.780691,-1.467612,0.620010
-3.189702,-1.489333,0.353943
-2.916989,-0.949027,0.401173
-3.286165,-2.141205,0.336218
-3.154221,-1.582582,0.439963
-3.055147,-0.995371,0.411930
-3.284050,-1.272004,0.393950
-3.432321,-2.607047,0.310745
-2.935693,-1.507771,0.257371
-3.221904,-1.854605,0.372364
-2.868102,-0.941884,0.472298
-3.235841,-1.560739,0.582077
-3.170330,-1.662187,0.426118
-3.337843,-1.326498,0.363742
-3.273552,-2.005378,0.291164
-3.258596,-1.770200,0.349039
-3.126568,-1.294646,0.442518
-3.129988,-1.990312,0.498386
-3.355043,-1.858785,0.365164
-3.238705,-2.112146,0.281498
-3.060246,-0.832256,0.466336
-3.179606,-1.569062,0.389752
-3.131625,-1.920345,0.407973
-3.103546,-1.531794,0.388742
-3.072980,-1.774631,0.311163
-3.220651,-1.384920,0.327658
-3.034471,-0.984726,0.412711
-3.381614,-1.829234,0.349540
-3.426981,-1.394572,0.439023
-3.105102,-0.922713,0.257520
-3.141731,-1.628099,0.441029
-3.323058,-1.620263,0.275406
-3.001859,-1.198761,0.331966
-3.242271,-1.703655,0.304321
-3.300352,-1.154703,0.309125
-3.185648,-1.583931,0.407163
-3.191525,-2.219749,0.282211
-3.172637,-2.572061,0.472917
-3.051877,-2.582431,0.360903
-3.067587,-2.062660,0.430948
-3.180128,-2.448964,0.345852
-3.124792,-1.736252,0.318537
-3.193298,-2.611749,0.495757
-2.961379,-1.495057,0.481101
-3.159666,-1.862288,0.408424
-3.408363,-1.916309,0.351018
-3.143702,-1.818964,0.437678
-3.231971,-1.880816,0.422817
-3.225655,-2.112296,0.420034
-3.318312,-1.894911,0.365472
-3.066554,-1.624769,0.512696
-3.141009,-2.016177,0.378237
-3.134464,-1.563156,0.327909
-3.217830,-1.424612,0.411898
-3.192856,-1.628911,0.327242
-3.184854,-1.457876,0.447857
-3.225126,-1.431772,0.371155
-3.369794,-2.321215,0.480964
-3.256103,-1.882314,0.455707
-3.057205,-1.955737,0.445702
-3.538267,-2.280676,0.486145
-3.180703,-1.905255,0.447544
-3.524683,-1.833102,0.366209
-2.970631,-1.343259,0.320336
-3.347549,-0.988913,0.401648
-3.471911,-2.264731,0.378260
-3.273395,-2.421191,0.338186
-3.181326,-1.526630,0.231178
-3.363116,-2.150738,0.376077
-3.286108,-1.415708,0.418132
-3.220899,-0.970224,0.307072
-2.948076,-1.444511,0.331080
-3.294033,-1.797090,0.320447
-3.259928,-2.078613,0.443121
-2.798898,-1.778669,0.520330
-3.098645,-1.579018,0.466408
-3.449687,-1.927530,0.404169
-3.135947,-1.708093,0.535843
-3.298395,-1.073361,0.465868
-3.189983,-2.216332,0.410099
-3.023012,-2.050197,0.375949
-3.283947,-2.456591,0.399824
-3.233097,-1.109030,0.520514
-3.133152,-2.224519,0.454031
-3.155575,-2.334120,0.482526
-3.159317,-1.342748,0.413262
-3.127287,-2.181016,0.380413
-3.144856,-2.596522,0.387116
-3.285056,-2.267818,0.385554
-3.174948,-2.186110,0.492218
-3.367376,-1.689982,0.455297
-3.469953,-1.265138,0.390470
-3.483792,-1.797058,0.540346
-2.907316,-1.613491,0.379363
-2.921092,-1.823904,0.460599
-3.219975,-1.690940,0.423920
-3.219915,-2.048625,0.422193
-3.282137,-1.587842,0.310861
-3.289446,-1.176145,0.506387
-3.346495,-2.270907,0.306568
-3.068953,-1.544712,0.281578
-3.246822,-1.991714,0.467465
-3.581918,-1.744582,0.473925
-3.434547,-1.678683,0.520638
-3.214795,-2.069705,0.479417
-3.328051,-2.140022,0.395825
-3.473542,-1.949298,0.480712
-3.350015,-1.956341,0.360992
-3.239049,-2.037277,0.377953
-3.041690,-2.048056,0.287388
-3.337996,-2.399254,0.523428
-3.333384,-1.796917,0.364583
-3.194030,-2.005551,0.481917
-3.025310,-1.048290,0.233760
-3.099614,-1.196582,0.474584
-3.271511,-1.512563,0.371542
-3.254962,-1.795472,0.377966
-3.233294,-1.351172,0.241469
-3.019223,-2.291731,0.467031
-3.159287,-1.212073,0.275354
-3.473124,-1.709139,0.537078
-3.200564,-1.461614,0.596114
-3.151184,-2.114073,0.289616
-3.297466,-1.554066,0.342835
-3.109665,-2.300792,0.403501
-3.139341,-1.911088,0.378999
-3.377041,-2.239760,0.363472
-3.227249,-1.822531,0.491521
-3.386380,-1.716006,0.397227
-3.279713,-1.471319,0.443200
-3.332543,-1.578551,0.352355
-3.190019,-1.656474,0.237144
-3.138028,-1.626370,0.486333
-3.183361,-1.383208,0.445499
-3.028556,-2.126423,0.325788
-3.122904,-1.553880,0.458659
-3.413390,-1.676004,0.318220
-3.159164,-2.122289,0.433233
-3.115481,-1.426340,0.380326
-3.476009,-1.527731,0.413669
-3.288883,-1.681087,0.367895
-3.062615,-1.221350,0.418374
-3.039355,-1.358379,0.453175
-3.285892,-1.964632,0.376382
-3.174933,-1.738484,0.297812
-3.393662,-1.435497,0.246636
-3.263120,-1.502260,0.445180
-3.243149,-1.487336,0.432884
-3.180934,-2.002098,0.421083
-3.273233,-1.986905,0.251040
-3.161445,-1.062000,0.260280
-3.313653,-1.675223,0.446967
-3.102955,-1.770375,0.532906
-3.053615,-1.487841,0.400846
-3.274446,-0.692924,0.498665
-2.998700,-1.518487,0.440963
-3.323207,-1.616126,0.411910
-3.269123,-1.588319,0.420085
-3.511461,-1.670630,0.331981
-3.250186,-1.003393,0.390250
-3.265097,-2.136671,0.482320
-3.104150,-1.702647,0.390088
-3.321199,-1.637389,0.463018
-3.127041,-2.081909,0.336447
-3.229999,-1.904612,0.460591
-3.058833,-2.132466,0.380524
-3.226065,-1.666752,0.235834
-3.219122,-1.116418,0.558524
-3.181291,-2.031104,0.379668
-3.233001,-1.584034,0.473797
-3.571943,-1.962128,0.368595
-3.181911,-1.242537,0.414112
-3.303295,-1.726321,0.446277
-3.124253,-1.874572,0.600122
-3.206001,-1.736956,0.456102
-3.352586,-2.313185,0.412557
-3.321039,-1.468303,0.159751
-2.999588,-1.758327,0.451878
-3.468166,-1.396892,0.354481
-3.519946,-2.099688,0.401051
-3.441630,-0.861667,0.262494
-3.220972,-1.483474,0.391450
-3.161951,-1.942213,0.393854
-3.171144,-1.346244,0.386561
-3.129817,-1.334862,0.364142
-3.269436,-2.024543,0.475948
-3.296355,-1.085862,0.418374
-3.207916,-1.657274,0.396128
-3.183987,-3.105360,0.374952
-2.807662,-2.384547,0.331413
-3.255476,-1.517290,0.362000
-3.110900,-1.817551,0.332657
-2.943940,-1.506987,0.405430
-3.184682,-1.470230,0.441732
-2.985360,-1.506722,0.440567
-3.243407,-1.536131,0.395434
