time_s,m28,m28_sigma,m32,m32_sigma,m44,m44_sigma
3.7500,5.645090e-12,2.677411e-13,4.111722e-11,5.289378e-13,8.630591e-13,2.172612e-13
3.8000,5.412300e-12,2.649476e-13,4.190168e-11,5.352134e-13,7.547372e-13,2.150947e-13
3.8500,5.585027e-12,2.670203e-13,4.211828e-11,5.369463e-13,1.136764e-12,2.227353e-13
3.9000,5.448663e-12,2.653840e-13,4.132453e-11,5.305962e-13,9.945103e-13,2.198902e-13
3.9500,5.930255e-12,2.711631e-13,4.169322e-11,5.335458e-13,1.184944e-12,2.236989e-13
4.0000,4.850637e-12,2.582076e-13,4.181733e-11,5.345387e-13,8.278736e-13,2.165575e-13
4.0500,5.824167e-12,2.698900e-13,4.172426e-11,5.337940e-13,1.081125e-12,2.216225e-13
4.1000,5.813303e-12,2.697596e-13,4.220276e-11,5.376221e-13,8.862717e-13,2.177254e-13
4.1500,5.557191e-12,2.666863e-13,4.195348e-11,5.356279e-13,8.434723e-13,2.168694e-13
4.2000,5.748401e-12,2.689808e-13,4.194086e-11,5.355269e-13,1.106445e-12,2.221289e-13
4.2500,5.415076e-12,2.649809e-13,4.154763e-11,5.323810e-13,8.028195e-13,2.160564e-13
4.3000,5.301170e-12,2.636140e-13,4.146123e-11,5.316898e-13,9.911991e-13,2.198240e-13
4.3500,5.708825e-12,2.685059e-13,4.167051e-11,5.333641e-13,1.196758e-12,2.239352e-13
4.4000,5.671542e-12,2.680585e-13,4.208779e-11,5.367023e-13,8.841435e-13,2.176829e-13
4.4500,5.508987e-12,2.661078e-13,4.182503e-11,5.346003e-13,8.682322e-13,2.173646e-13
4.5000,5.680383e-12,2.681646e-13,4.219278e-11,5.375422e-13,8.722902e-13,2.174458e-13
4.5500,5.591998e-12,2.671040e-13,4.174231e-11,5.339385e-13,1.145498e-12,2.229100e-13
4.6000,5.259333e-12,2.631120e-13,4.179912e-11,5.343930e-13,8.192043e-13,2.163841e-13
4.6500,5.742160e-12,2.689059e-13,4.160370e-11,5.328296e-13,1.190255e-12,2.238051e-13
4.7000,5.690751e-12,2.682890e-13,4.169168e-11,5.335335e-13,8.515316e-13,2.170306e-13
4.7500,5.503934e-12,2.660472e-13,4.201438e-11,5.361151e-13,6.714973e-13,2.134299e-13
4.8000,5.234351e-12,2.628122e-13,4.203050e-11,5.362440e-13,6.772262e-13,2.135445e-13
4.8500,5.397279e-12,2.647673e-13,4.189952e-11,5.351962e-13,1.281553e-12,2.256311e-13
4.9000,4.955068e-12,2.594608e-13,4.217143e-11,5.373715e-13,9.565381e-13,2.191308e-13
4.9500,5.553174e-12,2.666381e-13,4.125869e-11,5.300695e-13,8.899440e-13,2.177989e-13
5.0000,5.269973e-12,2.632397e-13,4.147130e-11,5.317704e-13,1.209411e-12,2.241882e-13
5.0500,5.431811e-12,2.651817e-13,4.172668e-11,5.338134e-13,1.028738e-12,2.205748e-13
5.1000,5.408026e-12,2.648963e-13,4.122726e-11,5.298181e-13,8.003485e-13,2.160070e-13
5.1500,5.491848e-12,2.659022e-13,4.204469e-11,5.363576e-13,5.647269e-13,2.112945e-13
5.2000,5.351931e-12,2.642232e-13,4.129385e-11,5.303508e-13,5.891869e-13,2.117837e-13
5.2500,5.691261e-12,2.682951e-13,4.182620e-11,5.346096e-13,7.010680e-13,2.140214e-13
5.3000,5.045632e-12,2.605476e-13,4.207896e-11,5.366317e-13,1.089919e-12,2.217984e-13
5.3500,5.458727e-12,2.655047e-13,4.115768e-11,5.292614e-13,7.463368e-13,2.149267e-13
5.4000,5.496496e-12,2.659579e-13,4.183072e-11,5.346458e-13,8.167447e-13,2.163349e-13
5.4500,5.612929e-12,2.673551e-13,4.158572e-11,5.326857e-13,1.128552e-12,2.225710e-13
5.5000,5.500939e-12,2.660113e-13,4.173793e-11,5.339034e-13,9.770104e-13,2.195402e-13
5.5500,5.389862e-12,2.646783e-13,4.155838e-11,5.324670e-13,1.079619e-12,2.215924e-13
5.6000,5.275014e-12,2.633002e-13,4.174606e-11,5.339684e-13,1.175162e-12,2.235032e-13
5.6500,5.680642e-12,2.681677e-13,4.190420e-11,5.352336e-13,1.379475e-12,2.275895e-13
5.7000,6.101349e-12,2.732162e-13,4.190255e-11,5.352204e-13,7.895069e-13,2.157901e-13
5.7500,5.418852e-12,2.650262e-13,4.168487e-11,5.334789e-13,1.297131e-12,2.259426e-13
5.8000,5.380035e-12,2.645604e-13,4.176696e-11,5.341357e-13,1.231587e-12,2.246317e-13
5.8500,5.631095e-12,2.675731e-13,4.170023e-11,5.336018e-13,1.430890e-12,2.286178e-13
5.9000,5.422272e-12,2.650673e-13,4.158254e-11,5.326603e-13,1.101982e-12,2.220396e-13
5.9500,5.163144e-12,2.619577e-13,4.159094e-11,5.327275e-13,1.033815e-12,2.206763e-13
6.0000,5.480019e-12,2.657602e-13,4.214387e-11,5.371510e-13,9.545475e-13,2.190910e-13
6.0500,5.819834e-12,2.698380e-13,4.156210e-11,5.324968e-13,7.317727e-13,2.146355e-13
6.1000,5.208241e-12,2.624989e-13,4.189769e-11,5.351815e-13,9.985824e-13,2.199716e-13
6.1500,5.294406e-12,2.635329e-13,4.158267e-11,5.326613e-13,1.225984e-12,2.245197e-13
6.2000,5.693724e-12,2.683247e-13,4.100475e-11,5.280380e-13,1.081128e-12,2.216226e-13
6.2500,5.778903e-12,2.693468e-13,4.221436e-11,5.377149e-13,8.553794e-13,2.171076e-13
6.3000,5.350814e-12,2.642098e-13,4.163355e-11,5.330684e-13,1.055604e-12,2.211121e-13
6.3500,5.437003e-12,2.652440e-13,4.154177e-11,5.323342e-13,1.010125e-12,2.202025e-13
6.4000,5.843641e-12,2.701237e-13,4.171705e-11,5.337364e-13,1.042364e-12,2.208473e-13
6.4500,5.198143e-12,2.623777e-13,4.187528e-11,5.350022e-13,8.530686e-13,2.170614e-13
6.5000,5.590553e-12,2.670866e-13,4.147616e-11,5.318093e-13,7.921361e-13,2.158427e-13
6.5500,5.687814e-12,2.682538e-13,4.205352e-11,5.364282e-13,9.164299e-13,2.183286e-13
6.6000,5.265325e-12,2.631839e-13,4.152395e-11,5.321916e-13,9.666350e-13,2.193327e-13
6.6500,5.495108e-12,2.659413e-13,4.174627e-11,5.339701e-13,6.478782e-13,2.129576e-13
6.7000,5.536309e-12,2.664357e-13,4.137915e-11,5.310332e-13,1.229842e-12,2.245968e-13
6.7500,5.070415e-12,2.608450e-13,4.191511e-11,5.353209e-13,1.137324e-12,2.227465e-13
6.8000,5.260025e-12,2.631203e-13,4.192842e-11,5.354274e-13,1.211122e-12,2.242224e-13
6.8500,5.417203e-12,2.650064e-13,4.150439e-11,5.320351e-13,1.203196e-12,2.240639e-13
6.9000,5.599995e-12,2.671999e-13,4.215636e-11,5.372509e-13,1.058477e-12,2.211695e-13
6.9500,5.701258e-12,2.684151e-13,4.263493e-11,5.410794e-13,1.079162e-12,2.215832e-13
7.0000,5.404220e-12,2.648506e-13,4.183072e-11,5.346458e-13,1.025576e-12,2.205115e-13
7.0500,5.259058e-12,2.631087e-13,4.159405e-11,5.327524e-13,1.013926e-12,2.202785e-13
7.1000,5.469120e-12,2.656294e-13,4.173987e-11,5.339190e-13,1.228284e-12,2.245657e-13
7.1500,5.344050e-12,2.641286e-13,4.199030e-11,5.359224e-13,1.190863e-12,2.238173e-13
7.2000,5.352640e-12,2.642317e-13,4.219788e-11,5.375830e-13,1.290732e-12,2.258146e-13
7.2500,5.612081e-12,2.673450e-13,4.172766e-11,5.338213e-13,1.057286e-12,2.211457e-13
7.3000,5.294542e-12,2.635345e-13,4.208147e-11,5.366518e-13,1.059876e-12,2.211975e-13
7.3500,5.801504e-12,2.696180e-13,4.206602e-11,5.365282e-13,1.110650e-12,2.222130e-13
7.4000,5.737853e-12,2.688542e-13,4.160008e-11,5.328007e-13,1.407148e-12,2.281430e-13
7.4500,5.240323e-12,2.628839e-13,4.168162e-11,5.334530e-13,1.066545e-12,2.213309e-13
7.5000,5.682940e-12,2.681953e-13,4.198133e-11,5.358506e-13,6.926027e-13,2.138521e-13
7.5500,5.628814e-12,2.675458e-13,4.213397e-11,5.370717e-13,1.182755e-12,2.236551e-13
7.6000,5.196333e-12,2.623560e-13,4.151358e-11,5.321086e-13,1.440346e-12,2.288069e-13
7.6500,5.619340e-12,2.674321e-13,4.169214e-11,5.335371e-13,1.113554e-12,2.222711e-13
7.7000,5.147388e-12,2.617687e-13,4.082463e-11,5.265970e-13,1.546605e-12,2.309321e-13
7.7500,5.342830e-12,2.641140e-13,4.163681e-11,5.330945e-13,1.174957e-12,2.234991e-13
7.8000,5.250598e-12,2.630072e-13,4.099658e-11,5.279726e-13,1.178150e-12,2.235630e-13
7.8500,5.644678e-12,2.677361e-13,4.175615e-11,5.340492e-13,8.727825e-13,2.174556e-13
7.9000,5.491227e-12,2.658947e-13,4.194791e-11,5.355833e-13,1.505597e-12,2.301119e-13
7.9500,5.544506e-12,2.665341e-13,4.140770e-11,5.312616e-13,1.197437e-12,2.239487e-13
8.0000,5.396026e-12,2.647523e-13,4.150308e-11,5.320246e-13,1.050293e-12,2.210059e-13
8.0500,5.623400e-12,2.674808e-13,4.143781e-11,5.315025e-13,1.036427e-12,2.207285e-13
8.1000,5.933691e-12,2.712043e-13,4.197319e-11,5.357856e-13,1.177702e-12,2.235540e-13
8.1500,5.596043e-12,2.671525e-13,4.181329e-11,5.345063e-13,9.860478e-13,2.197210e-13
8.2000,5.339150e-12,2.640698e-13,4.168476e-11,5.334781e-13,9.827025e-13,2.196541e-13
8.2500,5.681455e-12,2.681775e-13,4.166048e-11,5.332838e-13,1.607998e-12,2.321600e-13
8.3000,5.266062e-12,2.631927e-13,4.159104e-11,5.327283e-13,1.357814e-12,2.271563e-13
8.3500,5.314066e-12,2.637688e-13,4.156139e-11,5.324912e-13,8.714100e-13,2.174282e-13
8.4000,5.749587e-12,2.689950e-13,4.154598e-11,5.323678e-13,1.179953e-12,2.235991e-13
8.4500,5.512008e-12,2.661441e-13,4.174739e-11,5.339791e-13,1.113719e-12,2.222744e-13
8.5000,5.333210e-12,2.639985e-13,4.246554e-11,5.397243e-13,1.010999e-12,2.202200e-13
8.5500,5.864150e-12,2.703698e-13,4.226242e-11,5.380994e-13,1.275888e-12,2.255178e-13
8.6000,5.636489e-12,2.676379e-13,4.101982e-11,5.281586e-13,1.104488e-12,2.220898e-13
8.6500,5.387233e-12,2.646468e-13,4.192928e-11,5.354342e-13,1.527805e-12,2.305561e-13
8.7000,5.629968e-12,2.675596e-13,4.147528e-11,5.318022e-13,1.129864e-12,2.225973e-13
8.7500,5.826319e-12,2.699158e-13,4.198957e-11,5.359165e-13,1.125482e-12,2.225096e-13
8.8000,5.421166e-12,2.650540e-13,4.130568e-11,5.304454e-13,9.995401e-13,2.199908e-13
8.8500,5.518794e-12,2.662255e-13,4.132089e-11,5.305671e-13,8.465895e-13,2.169318e-13
8.9000,5.686780e-12,2.682414e-13,4.108239e-11,5.286591e-13,1.520745e-12,2.304149e-13
8.9500,5.282310e-12,2.633877e-13,4.154279e-11,5.323424e-13,1.349651e-12,2.269930e-13
9.0000,5.345416e-12,2.641450e-13,4.136800e-11,5.309440e-13,1.336077e-12,2.267215e-13
9.0500,5.564165e-12,2.667700e-13,4.117108e-11,5.293687e-13,1.245185e-12,2.249037e-13
9.1000,5.484230e-12,2.658108e-13,4.152673e-11,5.322138e-13,1.336438e-12,2.267288e-13
9.1500,5.493426e-12,2.659211e-13,4.147648e-11,5.318118e-13,1.135895e-12,2.227179e-13
9.2000,5.299716e-12,2.635966e-13,4.113845e-11,5.291076e-13,1.383736e-12,2.276747e-13
9.2500,5.732178e-12,2.687861e-13,4.158368e-11,5.326695e-13,8.550115e-13,2.171002e-13
9.3000,5.617087e-12,2.674050e-13,4.175881e-11,5.340705e-13,1.469669e-12,2.293934e-13
9.3500,5.361355e-12,2.643363e-13,4.121275e-11,5.297020e-13,1.592504e-12,2.318501e-13
9.4000,5.647112e-12,2.677653e-13,4.222824e-11,5.378259e-13,1.049956e-12,2.209991e-13
9.4500,5.615030e-12,2.673804e-13,4.137410e-11,5.309928e-13,1.181430e-12,2.236286e-13
9.5000,5.347301e-12,2.641676e-13,4.169699e-11,5.335759e-13,1.380823e-12,2.276165e-13
9.5500,5.704749e-12,2.684570e-13,4.152394e-11,5.321915e-13,8.813928e-13,2.176279e-13
9.6000,5.481145e-12,2.657737e-13,4.163848e-11,5.331079e-13,1.392601e-12,2.278520e-13
9.6500,5.424157e-12,2.650899e-13,4.185281e-11,5.348225e-13,7.311213e-13,2.146224e-13
9.7000,5.391961e-12,2.647035e-13,4.183663e-11,5.346930e-13,1.065696e-12,2.213139e-13
9.7500,5.363827e-12,2.643659e-13,4.150058e-11,5.320046e-13,1.229105e-12,2.245821e-13
9.8000,5.181522e-12,2.621783e-13,4.168485e-11,5.334788e-13,1.270024e-12,2.254005e-13
9.8500,5.244563e-12,2.629348e-13,4.209219e-11,5.367375e-13,9.997336e-13,2.199947e-13
9.9000,5.650096e-12,2.678011e-13,4.201577e-11,5.361261e-13,1.382168e-12,2.276434e-13
9.9500,5.270556e-12,2.632467e-13,4.153313e-11,5.322650e-13,1.149393e-12,2.229879e-13
10.0000,5.714786e-12,2.685774e-13,4.182869e-11,5.346295e-13,9.760667e-13,2.195213e-13
10.0500,5.800824e-12,2.696099e-13,4.139753e-11,5.311803e-13,8.383276e-13,2.167666e-13
10.1000,5.670833e-12,2.680500e-13,4.204099e-11,5.363279e-13,1.086407e-12,2.217281e-13
10.1500,5.683557e-12,2.682027e-13,4.150830e-11,5.320664e-13,7.713296e-13,2.154266e-13
10.2000,5.540865e-12,2.664904e-13,4.150958e-11,5.320767e-13,1.518464e-12,2.303693e-13
10.2500,5.429285e-12,2.651514e-13,4.184405e-11,5.347524e-13,1.559872e-12,2.311974e-13
10.3000,5.744997e-12,2.689400e-13,4.111121e-11,5.288897e-13,1.447803e-12,2.289561e-13
10.3500,5.627695e-12,2.675323e-13,4.231654e-11,5.385323e-13,1.034070e-12,2.206814e-13
10.4000,5.491992e-12,2.659039e-13,4.191234e-11,5.352987e-13,9.096771e-13,2.181935e-13
10.4500,5.448746e-12,2.653850e-13,4.165340e-11,5.332272e-13,1.278786e-12,2.255757e-13
10.5000,5.404324e-12,2.648519e-13,4.119100e-11,5.295280e-13,1.271667e-12,2.254333e-13
10.5500,5.471035e-12,2.656524e-13,4.153128e-11,5.322502e-13,1.539104e-12,2.307821e-13
10.6000,5.732457e-12,2.687895e-13,4.128707e-11,5.302966e-13,9.336990e-13,2.186740e-13
10.6500,5.246924e-12,2.629631e-13,4.134329e-11,5.307464e-13,1.405472e-12,2.281094e-13
10.7000,5.381044e-12,2.645725e-13,4.133136e-11,5.306509e-13,7.050454e-13,2.141009e-13
10.7500,5.464176e-12,2.655701e-13,4.120337e-11,5.296269e-13,1.213145e-12,2.242629e-13
10.8000,5.121737e-12,2.614608e-13,4.121706e-11,5.297365e-13,1.364368e-12,2.272874e-13
10.8500,5.350821e-12,2.642099e-13,4.197213e-11,5.357770e-13,1.211993e-12,2.242399e-13
10.9000,5.125602e-12,2.615072e-13,4.139145e-11,5.311316e-13,1.521771e-12,2.304354e-13
10.9500,5.425883e-12,2.651106e-13,4.140699e-11,5.312560e-13,1.187664e-12,2.237533e-13
11.0000,5.428832e-12,2.651460e-13,4.169454e-11,5.335563e-13,1.150520e-12,2.230104e-13
11.0500,5.862607e-12,2.703513e-13,4.198903e-11,5.359122e-13,1.314419e-12,2.262884e-13
11.1000,5.707640e-12,2.684917e-13,4.154158e-11,5.323327e-13,1.397659e-12,2.279532e-13
11.1500,5.300294e-12,2.636035e-13,4.169014e-11,5.335211e-13,7.660064e-13,2.153201e-13
11.2000,5.722201e-12,2.686664e-13,4.184287e-11,5.347430e-13,1.165281e-12,2.233056e-13
11.2500,5.643079e-12,2.677169e-13,4.203059e-11,5.362448e-13,9.582715e-13,2.191654e-13
11.3000,5.616363e-12,2.673964e-13,4.173403e-11,5.338722e-13,1.340537e-12,2.268107e-13
11.3500,5.642334e-12,2.677080e-13,4.102191e-11,5.281753e-13,1.478358e-12,2.295672e-13
11.4000,5.573005e-12,2.668761e-13,4.201012e-11,5.360810e-13,1.259726e-12,2.251945e-13
11.4500,5.918893e-12,2.710267e-13,4.193508e-11,5.354806e-13,1.125250e-12,2.225050e-13
11.5000,5.758243e-12,2.690989e-13,4.149113e-11,5.319291e-13,1.100516e-12,2.220103e-13
11.5500,5.486815e-12,2.658418e-13,4.176682e-11,5.341346e-13,1.107739e-12,2.221548e-13
11.6000,5.272172e-12,2.632661e-13,4.181151e-11,5.344921e-13,1.051977e-12,2.210395e-13
11.6500,5.324726e-12,2.638967e-13,4.154670e-11,5.323736e-13,6.868258e-13,2.137365e-13
11.7000,5.706611e-12,2.684793e-13,4.095427e-11,5.276342e-13,1.063616e-12,2.212723e-13
11.7500,5.600768e-12,2.672092e-13,4.220417e-11,5.376334e-13,7.474011e-13,2.149480e-13
11.8000,5.929132e-12,2.711496e-13,4.107503e-11,5.286002e-13,8.050816e-13,2.161016e-13
11.8500,5.463509e-12,2.655621e-13,4.103765e-11,5.283012e-13,1.275803e-12,2.255161e-13
11.9000,5.922735e-12,2.710728e-13,4.130141e-11,5.304113e-13,1.491637e-12,2.298327e-13
11.9500,5.411513e-12,2.649382e-13,4.175335e-11,5.340268e-13,1.242504e-12,2.248501e-13
12.0000,6.185902e-12,2.742308e-13,4.081134e-11,5.264907e-13,1.442622e-12,2.288524e-13
12.0500,6.501919e-12,2.780230e-13,4.124758e-11,5.299806e-13,9.752151e-13,2.195043e-13
12.1000,7.440322e-12,2.892839e-13,4.105838e-11,5.284670e-13,1.391467e-12,2.278293e-13
12.1500,7.556680e-12,2.906802e-13,4.078133e-11,5.262506e-13,9.526952e-13,2.190539e-13
12.2000,8.403263e-12,3.008392e-13,4.125684e-11,5.300547e-13,1.214341e-12,2.242868e-13
12.2500,8.992735e-12,3.079128e-13,4.123323e-11,5.298658e-13,1.211047e-12,2.242209e-13
12.3000,9.266229e-12,3.111947e-13,4.159261e-11,5.327409e-13,1.612584e-12,2.322517e-13
12.3500,9.834786e-12,3.180174e-13,4.218166e-11,5.374533e-13,1.227443e-12,2.245489e-13
12.4000,1.035665e-11,3.242798e-13,4.224479e-11,5.379583e-13,1.541883e-12,2.308377e-13
12.4500,1.029505e-11,3.235406e-13,4.146644e-11,5.317315e-13,1.042267e-12,2.208453e-13
12.5000,1.127349e-11,3.352818e-13,4.155765e-11,5.324612e-13,1.300704e-12,2.260141e-13
12.5500,1.162022e-11,3.394427e-13,4.148583e-11,5.318866e-13,1.638250e-12,2.327650e-13
12.6000,1.136470e-11,3.363763e-13,4.142605e-11,5.314084e-13,1.302760e-12,2.260552e-13
12.6500,1.230201e-11,3.476241e-13,4.205921e-11,5.364737e-13,1.463393e-12,2.292679e-13
12.7000,1.224499e-11,3.469399e-13,4.140255e-11,5.312204e-13,1.351668e-12,2.270334e-13
12.7500,1.266947e-11,3.520337e-13,4.126919e-11,5.301535e-13,1.407575e-12,2.281515e-13
12.8000,1.258235e-11,3.509882e-13,4.157434e-11,5.325948e-13,1.641329e-12,2.328266e-13
12.8500,1.327638e-11,3.593166e-13,4.183002e-11,5.346401e-13,1.832871e-12,2.366574e-13
12.9000,1.353914e-11,3.624696e-13,4.238780e-11,5.391024e-13,1.731653e-12,2.346331e-13
12.9500,1.435463e-11,3.722556e-13,4.206446e-11,5.365157e-13,1.542917e-12,2.308583e-13
13.0000,1.512325e-11,3.814791e-13,4.128854e-11,5.303084e-13,1.612015e-12,2.322403e-13
13.0500,1.506587e-11,3.807905e-13,4.165343e-11,5.332274e-13,2.040713e-12,2.408143e-13
